type,repo_name,actor_login,event,issue_url,html_url,title,created_at
IssuesEvent,twbs/bootstrap,mdo,"closed","https://api.github.com/repos/twbs/bootstrap/issues/15603","https://github.com/twbs/bootstrap/issues/15603","checkbox/radio issues",2015-01-20 07:55:26.000000
IssuesEvent,twbs/bootstrap,Nagle,"opened","https://api.github.com/repos/twbs/bootstrap/issues/15510","https://github.com/twbs/bootstrap/issues/15510","Heading + Small + Pulling",2015-01-07 00:00:05.000000
IssuesEvent,twbs/bootstrap,cvrebert,"closed","https://api.github.com/repos/twbs/bootstrap/issues/15535","https://github.com/twbs/bootstrap/issues/15535","'use strict' error in jshint?",2015-01-13 20:26:06.000000
IssuesEvent,twbs/bootstrap,xabra,"closed","https://api.github.com/repos/twbs/bootstrap/issues/15554","https://github.com/twbs/bootstrap/issues/15554","Horizontal Description List breaks when <dd></dd> element is empty",2015-01-13 20:34:47.000000
IssuesEvent,twbs/bootstrap,mdo,"closed","https://api.github.com/repos/twbs/bootstrap/issues/15552","https://github.com/twbs/bootstrap/issues/15552","support for <form> around navbar for asp.net webforms masterpage",2015-01-13 20:49:39.000000
IssuesEvent,twbs/bootstrap,mdo,"closed","https://api.github.com/repos/twbs/bootstrap/issues/15556","https://github.com/twbs/bootstrap/issues/15556","Tooltip font in 3.3.1 set to default",2015-01-13 20:50:22.000000
IssuesEvent,twbs/bootstrap,cvrebert,"closed","https://api.github.com/repos/twbs/bootstrap/issues/15625","https://github.com/twbs/bootstrap/issues/15625","box-sizing support for Firefox <= 28 and Android <= 2.3",2015-01-21 17:53:37.000000
IssuesEvent,twbs/bootstrap,samarthsikotara,"opened","https://api.github.com/repos/twbs/bootstrap/issues/15488","https://github.com/twbs/bootstrap/issues/15488","Bootstrap Carousel slider not showing item contents in firefox",2015-01-04 18:43:42.000000
IssuesEvent,twbs/bootstrap,cvrebert,"closed","https://api.github.com/repos/twbs/bootstrap/issues/15544","https://github.com/twbs/bootstrap/issues/15544","Modal underneath content",2015-01-12 08:22:35.000000
IssuesEvent,twbs/bootstrap,bearded-avenger,"opened","https://api.github.com/repos/twbs/bootstrap/issues/15543","https://github.com/twbs/bootstrap/issues/15543","Normalize.less causing span bug within contenteditable regions with Chrome",2015-01-11 20:17:01.000000
IssuesEvent,twbs/bootstrap,browniebroke,"opened","https://api.github.com/repos/twbs/bootstrap/issues/15528","https://github.com/twbs/bootstrap/issues/15528","Affix sidebar width changes",2015-01-09 13:40:09.000000
IssuesEvent,twbs/bootstrap,matherton,"opened","https://api.github.com/repos/twbs/bootstrap/issues/15529","https://github.com/twbs/bootstrap/issues/15529","IE8 first select class=\""form-control\""",2015-01-09 13:42:04.000000
